molecule,smiles,raw_score,weighted_score,protein,is_target
7BFE572A332D9FC6_5AE78E6E42704066_6041_UN,C2(=NC1=C(C=CC=C1)[N]3C=CC=C23)NC56CN4CN(CN(C4)C5)C6,4.354825496673584,-4.354825496673584,G3S9D4,False
262CC5EAD66EF52A_C54CAAA01088E3E9_7022_UN,C1(=CC=C(C=C1)OCC2=CC=C(C=C2)Cl)OCC3=NC=CC(=C3)Cl,4.429398059844971,-4.429398059844971,G3S9D4,False
1693AA47A30D28FE_BB2367E9B18FB069_6041_UN,C2(=NC1=C(C=CC=C1)[N]3C=NC=C23)NC56CN4CN(CN(C4)C5)C6,4.4373884201049805,-4.4373884201049805,G3S9D4,False
80FC2AE15FFC6699_C336C3CCC5A3B1AC_7022_UN,C1(=CC(=CC=C1)C2=CC=C(C=C2)Cl)OCC34CCCN(CCC3)C4,4.461857795715332,-4.461857795715332,G3S9D4,False
28331FFDED7E5361_0A37C99ADE218882_6035_UN,O(CC12CCCN(CCC1)C2)C3=CC=C(C=C3)C4=CC=C(C=C4)Br,4.4651336669921875,-4.4651336669921875,G3S9D4,False
1431E117A16CC8CB_5DE03351249F5FDB_6031_DP,OC(=O)C1(CC2CCC1C2)C(=O)OCC34CC(CN)(OC3)CCC4,4.4652204513549805,-4.4652204513549805,G3S9D4,False
F1667A41D38A8277_6DC7A484E5755EB7_7022_UN,C1(=C(C=CC(=C1)OCC2=CC=CC=C2)F)OCC3=NC=CC(=C3)Br,4.487259864807129,-4.487259864807129,G3S9D4,False
AC631898561D58B1_19B58F78E33CAFC6_6034_UN,BrC1=CC(=CC=C1)CN2C=CC(=O)N(C2=O)CC3=NC=CC(=C3)Cl,4.488704204559326,-4.488704204559326,G3S9D4,False
59C39A471CD5099F_C09B98B22063F8E8_6041_UN,C2(=NC1=C(C=CC=C1)[N]3N=NN=C23)NC56CN4CN(CN(C4)C5)C6,4.502199172973633,-4.502199172973633,G3S9D4,False
0A3FC59713AAE6C0_A2BD56F94DFBEB19_7022_UN,C1(=CC=C(C=C1)OCC2=CC=C(C=C2)Cl)OCC3=CC=C(C=C3)I,4.526566982269287,-4.526566982269287,G3S9D4,False
5E1A40608AB02F53_16F0231D8B0F5225_6031_DP,NC1(CCC2(CC1)OCCO2)C(=O)OCCOC3(CN)CCOC3,4.528927803039551,-4.528927803039551,G3S9D4,False
6A5BBAE2F93419C5_8B4DD2B9D31E6BDD_6038_UN,NC(=O)CN3CCN(CCOC(=O)C12CCCN(CCC1)C2)CC3,4.53269624710083,-4.53269624710083,G3S9D4,False
37711DC93E094444_2FDB1D4623416F07_7022_UN,C1(=CC(=CC=C1)Br)OCC2=CC=C(C=C2)OCC3=C(C=CC=C3)F,4.539032936096191,-4.539032936096191,G3S9D4,False
4EF5F73FE6360B35_560BEEFA91126FD3_7022_UN,C1(=CC(=CC=C1)Cl)OCC2=CC=C(C=C2)OCC3=C(C=CC=C3)F,4.53903341293335,-4.53903341293335,G3S9D4,False
9403781F4ABB9E8B_930D4843A18934AF_6031_UN,O(C(=O)CC(C1=CC=CC=C1)[N]2C=CC=C2)CC3=NC=CC(=C3)Cl,4.545475959777832,-4.545475959777832,G3S9D4,False
5E0C37CAE2867333_540FC365FDD2201B_6035_UN,O(CC1=CC(=CC=C1)F)C2=CC=C(C=C2)OCC3=C(C=CC=C3)F,4.547175407409668,-4.547175407409668,G3S9D4,False
525D92B2788F8F89_BEBB4AA41E308A64_6031_UN,O(C(=O)C1=C(C=CC(=C1)C2=CC=CC=C2)Cl)CC3=NC=CC(=C3)Br,4.548542022705078,-4.548542022705078,G3S9D4,False
2D99538E35E25C29_A2D4A69C24510D45_6034_UN,O=C2C[C]1(CC[CH2]CC1)CC(=O)[N]2CCOC3(CN)CCCCC3,4.550212383270264,-4.550212383270264,G3S9D4,False
79D0656C336C1F6C_C98180AC8B11F1C5_6034_UN,O=C1CC3(CC(=O)N1CCOC2(CN)CCCC2)CCCCCC3,4.550404071807861,-4.550404071807861,G3S9D4,False
04AF8940CBD49C0A_CFE1A2B28566F96C_6031_UN,O(C(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)Br)CC3=NC=CC(=C3)Cl,4.552834510803223,-4.552834510803223,G3S9D4,False
4CD89155C7775E5B_29A5A97D37AAABD0_6031_UN,O(C(=O)CN1CCCCCC1=O)CC2(N)CCC3(CC2)OCCO3,4.552914619445801,-4.552914619445801,G3S9D4,False
A7B7BD20E5FD473A_339B8F5F6F509DB5_6031_UN,O(C(=O)CC1C2CCCC1CNC2)CC34CC(CN)(OC3)CCC4,4.554282188415527,-4.554282188415527,G3S9D4,False
C5BDA2B0CB4B6038_B06BFD1F84BF3153_6035_UN,O(CC1=C(C=CC=C1)F)C2=CC=C(C=C2)OCC3=C(C=CC=C3)F,4.555764675140381,-4.555764675140381,G3S9D4,False
3E688D2FAE9699A2_E1E6B6927123FB64_2201_DP,N1CC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.561947822570801,-4.561947822570801,G3S9D4,False
B12F0D07B7E1C7ED_C2A173E4C67E72F2_6038_UN,COC(=O)C2CCN(CCOC(=O)CCN1CCCCCC1)CC2,4.568752288818359,-4.568752288818359,G3S9D4,False
2EE86B3B2843E51E_81E19DF2ADD0D916_6031_UN,O(C(=O)C1(CCOCC1)C2CCCCO2)CCN3CCOCC3=O,4.569279670715332,-4.569279670715332,G3S9D4,False
5AAC79FE10CB1CD0_DFD011AE691F0410_6031_DP,OC(=O)C1(CCCCCC1)C(=O)OCCOC2(CN)CCCCC2,4.572109222412109,-4.572109222412109,G3S9D4,False
D31F7D40D18F771F_901B87B4804F8AE4_6041_UN,C2(=CC=NC3=C1N=CC=CC1=CC=C23)NC45CCCN(CCC4)C5,4.573549270629883,-4.573549270629883,G3S9D4,False
B27A7E8853FF18C5_89548E908FB7630B_6031_UN,O(C(=O)CC2CCC1(CCOCC1)CO2)CCN3CCOCC3=O,4.578194618225098,-4.578194618225098,G3S9D4,False
6C2750E50F3E56B6_93245ECA8AED56BD_6039_UN,O(C(C1=CC=CC=C1)C2=CC(=CC=C2)F)CCC3=CC=CC(=C3)F,4.584538459777832,-4.584538459777832,G3S9D4,False
AE01926D2050A62C_6A78672B38CCA386_2201_UN,C13=NC5=C4C(=C1C2(CCCCC2)OC=C3)CCC4=CC6=C5CCC6,4.585065841674805,-4.585065841674805,G3S9D4,False
CDA00902ECEEE733_553BDDE1C39831F6_2201_DP,N1CCC4(C1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6,4.598942756652832,-4.598942756652832,G3S9D4,False
97238C2EA2694A78_BE6FC30F35635A57_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCCN2CCCCCCC2,4.601951599121094,-4.601951599121094,G3S9D4,False
754AB6D4EAB42867_25EF5FC02A3CA2F4_6031_UN,O(C(=O)CN1CCCCC(=O)C1=O)CCOC2(CN)CCCCC2,4.603542327880859,-4.603542327880859,G3S9D4,False
EF7A6E6A9037AB0F_C4BAAF6372BC9117_6031_UN,COC(=O)[C]2(C[C]1(C[CH2]C1)C2)C(=O)OCC3(N)CCCCCCC3,4.604408264160156,-4.604408264160156,G3S9D4,False
0A93862F9AA58D38_19C166393D5981D0_6031_UN,O(C(=O)C1(CCOCC1)C2CCCCO2)CCN3CCCCC3=O,4.606071472167969,-4.606071472167969,G3S9D4,False
981BE1CF627F46D6_EFE384F7E793EED1_7022_UN,C1(=CC=C(C=C1)OCC2=CC=CC=C2)OCCOC3=CC=CC=C3,4.614112854003906,-4.614112854003906,G3S9D4,False
981BE1CF627F46D6_B1D5AD011727C2CB_6035_UN,O(CCOC1=CC=CC=C1)C2=CC=C(C=C2)OCC3=CC=CC=C3,4.614112854003906,-4.614112854003906,G3S9D4,False
4F955A0BB542DEC4_D6317880AA04E602_6031_UN,O(C(=O)CNCC1=CC(=CC=C1)F)CC2=NC3=C(N=N2)C=CC=C3,4.616057395935059,-4.616057395935059,G3S9D4,False
75A29B929925FADC_FEBFF465B5AFC0C2_6035_UN,O(CC1=C(C=CC=C1)F)C2=C(C=CC=C2)OCC3=C(C=CC=C3)F,4.6188788414001465,-4.6188788414001465,G3S9D4,False
EFCD40CD9DE5A35F_AE5CB7994BD6F958_7022_UN,C1(=CC(=CC=C1)C2=CC=C(C=C2)Cl)NC45CN3CN(CN(C3)C4)C5,4.620279312133789,-4.620279312133789,G3S9D4,False
3C5F5EB8D781B251_5B51892B95711D21_6035_UN,O(CC1=C(C=CC=C1)F)C2=C(C=C(C=C2)OCC3=CC=CC=C3)F,4.62096643447876,-4.62096643447876,G3S9D4,False
6A55853BB91966C0_A7A6D8B2B161D213_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CCC3=CC=CC(=C3)F,4.621606826782227,-4.621606826782227,G3S9D4,False
673D4419BB39ECEF_2E30A690AF27C7D4_6038_UN,NC(=O)CN3CCN(CCOC(=O)CC1CN2CCN1CC2)CC3,4.623388290405273,-4.623388290405273,G3S9D4,False
E2648183EA7C2074_7705DAA6E3EDF778_6035_UN,O(CC12CCC(CC1)CC2)C5=C4N=C3C=CC=CC3=NC4=CC=C5,4.62459135055542,-4.62459135055542,G3S9D4,False
C6B5B787266C3F9A_6CBB19AFA08E4A73_6035_UN,O(C1CCCCCCCCCCC1)C3=C(C=C2OCCOC2=C3)Br,4.6249213218688965,-4.6249213218688965,G3S9D4,False
7A0EE5A3D474DA06_DBD712B4D1881EB7_6031_UN,CCN2CCN(CC(=O)OCC1(N)CCCCCCC1)C(=O)C2=O,4.628447532653809,-4.628447532653809,G3S9D4,False
6E50512F838EDFB1_0103B6AD7CBAD078_7005_UN,[NH]2C1=CC=C(C=C1N=C2C3N4CCN(C3)CCC4)C5=CC=NC=C5,4.629385948181152,-4.629385948181152,G3S9D4,False
73A9136A5223B3B4_3188E5D308E598C3_6031_DP,NC1(CCC2(CC1)OCCO2)C(=O)OCC3(N)CCCCCCC3,4.635150909423828,-4.635150909423828,G3S9D4,False
E8649E11D592E2EA_927F36884EAF9A04_7022_UN,C1(=CC=C(C=C1)OCC2=CC=CC=C2)OCCOC3=NC=CC=C3,4.64101505279541,-4.64101505279541,G3S9D4,False
F4F4FF8CD37E3C96_D0C622462E0163EE_6031_UN,COC(=O)C1(COC1)C(=O)OCCN3CCC2(CCCCC2)CC3,4.642524242401123,-4.642524242401123,G3S9D4,False
947CB4F59CDACC56_44508D617640FCB3_6031_DP,OC(=O)C1(CCCCCC1)C(=O)OCCCN2CCCCCCC2,4.643336296081543,-4.643336296081543,G3S9D4,False
B08C11A051EC84F8_C35AFFB303D825D3_6035_UN,O(CC1=C(C=NC=C1)Cl)C2=C(C=CC=C2)OCC3=CC(=CC=C3)F,4.643441200256348,-4.643441200256348,G3S9D4,False
00B13D03D89EA420_C3A8153EB4463D25_6031_UN,O(C(=O)CN1CCCOC1=O)CC3CCC2(CCCCCCC2)O3,4.647342205047607,-4.647342205047607,G3S9D4,False
940A58129E5052EF_9D011FB9B359D4A7_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)C[C@@H]4C[C@H]3COC[C@H]3O4,4.650021076202393,-4.650021076202393,G3S9D4,False
CC1F160DEBF403AE_D2037D62AE076E93_6035_UN,O(C1C3CCCC1CN(CC2=CC=CC=C2)C3)C4=C(C=CC=C4)F,4.65088415145874,-4.65088415145874,G3S9D4,False
7FDE813F5D354527_1FE1B6EF55D32DF1_6031_UN,CCOC(=O)[C]2(C[C]1(C[CH2]C1)C2)C(=O)OCC3(N)CCCCCC3,4.650964736938477,-4.650964736938477,G3S9D4,False
E38E781B88DA075D_A311C52E8EDFB9A6_6031_UN,CCN2CCN(CC(=O)OCCN1CCCCCC1=O)C(=O)C2=O,4.653845310211182,-4.653845310211182,G3S9D4,False
DFAC3FD3227F5234_60241E7BD1D6C31D_6035_UN,O(CC23CC1CC(CC(C1)C2)C3)C4=CC=C(C=C4)C5=CC=NC=C5,4.6540141105651855,-4.6540141105651855,G3S9D4,False
C9ED6F41E4BEE60D_D28EE2F1D31AFD31_6031_DP,NC(C1CCCCO1)C(=O)OCC2(CN)COCC3COCCN23,4.658792495727539,-4.658792495727539,G3S9D4,False
24ED95A401F5757A_BD9672358955F368_6034_UN,O=C1CCC(C(=O)N1CC2OC2C3=CC=CC=C3)C4=NC=CC=C4,4.6599202156066895,-4.6599202156066895,G3S9D4,False
4CED9433BA1669D8_DB2041D0DBC4FCAE_7022_UN,C1(=C(C=CC=C1)COC2=CC=C(C=C2)F)OCC3=C(C=CC=C3)Cl,4.6599440574646,-4.6599440574646,G3S9D4,False
3981F408771DDF40_87D29F4A6ADB453B_7022_UN,C1(=CC=C(C=C1)Br)OC2C4CCCC2CN(CC3=CC=CC=C3)C4,4.660189628601074,-4.660189628601074,G3S9D4,False
4253013EC1946BB8_DA56A3042C211D55_7022_UN,C1(=CC=C(C=C1)F)OC2CC3CCCC(C2)N3CC4=CC=CC=C4,4.6642069816589355,-4.6642069816589355,G3S9D4,False
A1D838DA244A7244_7913F266D3099390_6041_UN,C1(=NC2=C(C=C1)C=CC3=C2N=CC=C3)NC45CCCN(CCC4)C5,4.666099548339844,-4.666099548339844,G3S9D4,False
AB5F50710387D1C5_5205058E13754980_6035_UN,O(C1CC2CCCC(C1)N2CC3=CC=CC=C3)C4=NC=CC(=C4)Br,4.668262004852295,-4.668262004852295,G3S9D4,False
0FE38BA06E6C36BB_AE12B926EF9F1B0A_7022_UN,CC1=CC(=CC=C1)OCC2=CC=C(C=C2)OCC3=C(C=CC=C3)F,4.668428421020508,-4.668428421020508,G3S9D4,False
C051AAD6350FDECE_EE7CFA6BF4F92EFF_6031_UN,O(C(=O)C1=CC(=NO1)C2=CC=C(C=C2)Br)CCC3=CC=C(C=C3)Cl,4.668553352355957,-4.668553352355957,G3S9D4,False
CF792C1E9ABE2A75_E7DB69F36B4279C2_6038_UN,O(CC2CCC1(CCCCCCC1)O2)C(=O)CCN3CCOC3=O,4.66886043548584,-4.66886043548584,G3S9D4,False
0DC938515E660A14_62EB4FA4E0212D5F_6035_UN,O(CC1=NC(=CC=C1)F)C2=CC=C(C=C2)OCC3=C(C=CC=C3)F,4.670528411865234,-4.670528411865234,G3S9D4,False
E7FA3779F70B8138_0103B6AD7CBAD078_7005_UN,N3=C(C1N2CCN(C1)CCC2)[NH]C4=CC(=CC=C34)C5=CC=NC=C5,4.674144744873047,-4.674144744873047,G3S9D4,False
299EAFDB94FC70C1_9BF681DB85E8833F_6031_UN,CCOC(=O)C2(CC(=O)OCCCN1CCCCCCC1)CCC2,4.674161911010742,-4.674161911010742,G3S9D4,False
BE8CEE0F3FBB718A_D18630A3EA85D73E_6035_UN,O(CC12CCCN(CCC1)C2)C3=CC(=CC=C3)OC4=CC=NC=C4,4.674578666687012,-4.674578666687012,G3S9D4,False
925106FCD750FB9E_BA3D432A5158D828_6039_UN,O(CCN1CCCCCC1=O)CC(=O)N2CCC3(CC2)OCCO3,4.678336143493652,-4.678336143493652,G3S9D4,False
977BC743805271BD_979CDAB0832538AC_6039_UN,COC(=O)C2CCN(CCOCC(=O)N1CCCCCCC1)CC2,4.681851387023926,-4.681851387023926,G3S9D4,False
847A94F942D20B7C_9E8C117406AA5377_6035_UN,O(C1C3CCCC1CN(CC2=CC=CC=C2)C3)C4=C[N](=CC=C4)=O,4.685732841491699,-4.685732841491699,G3S9D4,False
D1BED4BCC4E749E7_3A362C29DEDB49E8_6035_UN,O(CC1=C(C=C(C=C1)F)Br)C2=CC(=CC=C2)OCC3=CC=CC=C3,4.688006401062012,-4.688006401062012,G3S9D4,False
5CAF2CF6A3B3A86B_A21A37811D87CED8_6035_UN,O(CC12CCCN(CCC1)C2)C3=CC=C(C=C3)OC4=CN=CC=C4,4.688442230224609,-4.688442230224609,G3S9D4,False
DBEECB054A5110B5_8EED0002496C903F_6031_DP,NCC1CCC(C1)(N)C(=O)OCC3CCC2(CCCCCCC2)O3,4.690746784210205,-4.690746784210205,G3S9D4,False
1FD0A0260DE10807_AB36AE114497AADD_6035_UN,O(CC1=C(C=C(C=C1)Cl)I)C2=CC=C(C=C2)OCC3=CC=NC=C3,4.691305160522461,-4.691305160522461,G3S9D4,False
8592D0FAC4D33ABF_8115ABA3122A8E0D_6039_UN,O(C1C3CCCC1CN(CC2=CC=CC=C2)C3)CC4=NC=CC=C4,4.694133758544922,-4.694133758544922,G3S9D4,False
8592D0FAC4D33ABF_28E75AE241DF4682_6039_UN,O(C1C3CCCC1CN(CC2=CC=CC=C2)C3)CC4=NC=CC=C4,4.694133758544922,-4.694133758544922,G3S9D4,False
9FAE11D926A8738F_93BC3D2450E37B2B_6031_DP,NCC(C1CCOC1)C(=O)OCC2(CN)COCC3COCCN23,4.7010345458984375,-4.7010345458984375,G3S9D4,False
6F2E26187074ED56_B6A08CC7F3D16AF0_2201_UN,C13=NC5=C4C(=C1OC2=C(C=CC=C2)C=C3)CCC4=CC6=C5CCC6,4.702042102813721,-4.702042102813721,G3S9D4,False
088ED84A90DE2815_8AF2959356E8F35A_6034_UN,FC1=C(C=C(C=C1)C2=NC=CN2CCOCC3=CC(=CC=C3)F)Br,4.702073097229004,-4.702073097229004,G3S9D4,False
313F71C1CA96EF34_3692CA51BE0452C6_6039_UN,O(CCC1=CC=CC=C1)CC2=CC=C(C=C2)OCC3=CN=CC=C3,4.707944869995117,-4.707944869995117,G3S9D4,False
1C1EA3E652F489E9_536830E1DC29761C_6039_UN,O(CCC1=CC=CC=C1)CC2=CC=C(C=C2)OCC3=CC=NC=C3,4.7108869552612305,-4.7108869552612305,G3S9D4,False
8F3728D495CEC239_2CCA5F26ACBF6623_6031_UN,O(C(=O)C23CC1CC(CC(C1)O2)C3)CC56CC4CC(CC(C4)O5)C6,4.711014270782471,-4.711014270782471,G3S9D4,False
4431C0C109FC3B38_FEFCD14BC44530BA_6038_DP,OC(=O)CN3CCCCC(OC(=O)C1(CC1)C2CCCCO2)C3=O,4.711301803588867,-4.711301803588867,G3S9D4,False
19EC8EF24ABF69FE_5A72603E7F9A8731_6038_UN,O(CCN2CCC1(COC1)CC2)C(=O)CN3CCCCCCC3=O,4.712826728820801,-4.712826728820801,G3S9D4,False
F68402B54656CC56_A1F6CB130CDC7BD6_6039_UN,CC1=C(C=CC(=C1)F)OCC2=CC(=CC=C2)OCC3=NC=CC=C3,4.716048717498779,-4.716048717498779,G3S9D4,False
17F0186C119D22F0_E49DA7B9481D94D3_6031_UN,O(C(=O)CC2CC1OCCC1O2)CC3(N)CCC4(CC3)OCCO4,4.722667217254639,-4.722667217254639,G3S9D4,False
BAA2156BE5DFB9CF_04F297E7C57954B8_6038_DP,OC(=O)CN3CCCCC(OC(=O)C12CCCN(CCC1)C2)C3=O,4.722999572753906,-4.722999572753906,G3S9D4,False
8ECF4B2049861C9D_7BBF5E8F8B18EEB9_2201_UN,C12=NC5=C4C(=C1CCCC3=C2C=CC=C3)CCC4=CC6=C5CCC6,4.729238033294678,-4.729238033294678,G3S9D4,False
7D9CA89BF69728E5_88640525BB83AD57_6031_UN,O(C(=O)CC1=C(C=CC(=C1)Br)Cl)CC2=C[N](N=C2)C3=CC=CC=C3,4.732194423675537,-4.732194423675537,G3S9D4,False
51B94E8FC3B6081A_D4AD43F436539C58_6039_UN,NC(=O)CN2CCN(CCOCC(=O)N1CCCCCCC1)CC2,4.735529899597168,-4.735529899597168,G3S9D4,False
FCDB7A70847B67F8_97FA2B82A3BA295F_6031_UN,CCOC(=O)C13CC(C1)(C(=O)OCCN2CCCCCC2=O)OC3,4.7357072830200195,-4.7357072830200195,G3S9D4,False
69EAD7ECD240C92E_DCED54B18BB76946_6038_UN,CCCN3CCCC(OC(=O)CN2N=C1CCCCCN1C2=O)C3,4.7358717918396,-4.7358717918396,G3S9D4,False
1BB916102AA8F1B6_BD8AF1985CA33C7F_6031_UN,O(C(=O)CC1C2CCCC1CNC2)CC3(CN)CC4CCC3CC4,4.739352226257324,-4.739352226257324,G3S9D4,False
8B6C4A0D9993533A_7FA65B5284471CEA_6038_UN,COC(=O)C34CCC(COC(=O)CCC1CC2CCC1C2)(C3)OC4,4.74044132232666,-4.74044132232666,G3S9D4,False
0951C9B860956399_46EE1BAE0F85DA95_6031_UN,COC(=O)N1CCCC(C1)C(=O)OCCOC2(CN)CCCCC2,4.752213954925537,-4.752213954925537,G3S9D4,False
45665E52EBFEDE59_80ED62C3C4B6044C_6031_UN,CCOC(=O)C(=C)CC(=O)OCCN2CCC1(CCCCC1)CC2,4.752859115600586,-4.752859115600586,G3S9D4,False
286A7660CD90EFD6_BB8ECE5076E6FE46_6038_UN,COC(=O)C(OC(=O)C(C1=CC=CC=C1)[N]2C=CC=C2)C3CCC3,4.75322151184082,-4.75322151184082,G3S9D4,False
72D5F15662BEA599_191501020F568397_6038_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)C(=O)[C@@H]3[C@H]4CCCO[C@@H]34,4.754289150238037,-4.754289150238037,G3S9D4,False
49A9D8B0AD77C228_694F99F9BC1214B4_6038_DP,OC(=O)CN2CCCCC(OC(=O)CN1CCCCCC1=O)C2=O,4.7554779052734375,-4.7554779052734375,G3S9D4,False
C60D8C6A48163DE3_1507302908BFA693_6038_UN,CCOC(=O)C34CC(COC(=O)C1CC2CCC1CC2=O)(C3)OC4,4.755489826202393,-4.755489826202393,G3S9D4,False
FA7C3D7183370F49_454E3DCEBD59D871_6038_UN,COC(=O)CSSCCOC(=O)CN1C(=O)N(CC=C)C(=O)C1=O,4.76178503036499,-4.76178503036499,G3S9D4,False
6E3ACBBF8AA0D418_E45127655FB1A145_6038_UN,COC(=O)C(C)OC(=O)CC2C1=C(C=CC=C1)OC3=C2C=CC=C3,4.762587547302246,-4.762587547302246,G3S9D4,False
49A6883931B68D50_39543A533B0EF5E6_6034_UN,O=C2C[C]1(CC[CH2]CC1)CC(=O)[N]2CCCN3CCCCCCC3,4.767047882080078,-4.767047882080078,G3S9D4,False
3D79CA7431ECF024_0341337CAD58A325_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CC4CC3OCCC3O4,4.7679595947265625,-4.7679595947265625,G3S9D4,False
94E586FE13A57AFE_C7C6A3D7613E0773_2201_UN,C13=NC5=C4C(=C1C2(CCOCC2)OC=C3)CCC4=CC6=C5CCC6,4.769307613372803,-4.769307613372803,G3S9D4,False
00A8ECB3E57EA812_0876439A50023116_7022_UN,C1(=C(C=CC=C1)CC2=CC=CC=C2)OCCOCC3=CC=CC=C3,4.770082473754883,-4.770082473754883,G3S9D4,False
13F11EE6DBA9BDFD_B059681C4D10548C_6035_UN,O(CCC1=NC=CC=C1)C2=CC=C(C=C2)OCCC3=CC=CC=C3,4.770256996154785,-4.770256996154785,G3S9D4,False
A26C76E0300225EA_4941C7391DB2B0CA_6035_UN,O(CC1=C(C=CC(=C1)Br)Cl)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl,4.770620346069336,-4.770620346069336,G3S9D4,False
45612046460756A8_06863105F4360CA4_6039_UN,O(C1C3CCCC1CN(CC2=CC=CC=C2)C3)CC4=CN=CC=C4,4.774857521057129,-4.774857521057129,G3S9D4,False
AD7CA414B4A0E016_07E51BC5EA90AFA3_2201_UN,FC1(F)CCC5(CC2=C4C3=C(N=C12)N=CN=C3NC=C4)OCCO5,4.7764129638671875,-4.7764129638671875,G3S9D4,False
68D9C9765AE1FBD2_2011957400119379_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CC4CC3CCCC3O4,4.777682781219482,-4.777682781219482,G3S9D4,False
3D6CB1B7CFB89913_FB645A2E4B599808_6006_UN,C1(=NC3=C(C=C1)N2CC[C@@H](C2)N3)C4=CC(=CC=C4)C5=CC=NC=C5,4.77833890914917,-4.77833890914917,G3S9D4,False
C53E1F262DE81312_EA8F9B58DEA8FC83_6031_UN,CCCC(=O)N1CCC(CC1)C(=O)OCCN2CCCCCC2=O,4.781894683837891,-4.781894683837891,G3S9D4,False
A5C8905D6C764C7D_16D2615CAB69D1D1_6031_UN,NC(CC1=NSN=C1)C(=O)OCC3=NC2=C(N=C(N)N=C2N)N=C3,4.7834086418151855,-4.7834086418151855,G3S9D4,False
FC04FA5F964927C6_B7AAF38BAA0DF11F_6038_UN,COC(=O)C2CCN(CCOC(=O)COC1CCCCCC1)CC2,4.785789489746094,-4.785789489746094,G3S9D4,False
7FF35429782D958D_EEE1A62467C26EE5_6039_UN,O(C(C1=CC=CC=C1)C2=C(C=CC=C2)F)CC3OCC4CCOC34,4.786075592041016,-4.786075592041016,G3S9D4,False
733D41ECB800C4F1_79EE6FA1A0DC41F5_6031_UN,COC(=O)NCCC(=O)OCCC(N)C13CC2CC(CC(C1)C2)C3,4.78689432144165,-4.78689432144165,G3S9D4,False
85AA65EA3F0AA581_2E740CABB52F4C71_6038_UN,CC(OC(=O)C(C1=CC=CC=C1)[N]2C=CC=N2)C3=CC(=CC=C3)F,4.787459373474121,-4.787459373474121,G3S9D4,False
BD559906AEBD2865_595D7E954B974A48_6004_UN,C2(=CC1=CN=C[N]1C=C2)C3=C(C=CC(=C3)F)OCC4=CC=NC=C4,4.787559509277344,-4.787559509277344,G3S9D4,False
1F92B788D103A07A_055ED2B4A84AF418_7022_UN,C1(=CC(=CC=C1)C2=CC=NC=C2)OCCOC3=C(C=CC(=C3)Cl)Cl,4.790396690368652,-4.790396690368652,G3S9D4,False
721F7D73960985B2_6313958C50BE59B8_6031_UN,CC1(CCC2(CC1)OCCO2)C(=O)OCCN3CCCCCC3=O,4.79388427734375,-4.79388427734375,G3S9D4,False
4D89CA4656055AA3_FE3AA5C93E71F75F_6039_UN,O(C(C1=NC=C[NH]1)C2=CC=CC=C2)CC4CN3CC(CCC3=O)O4,4.795626640319824,-4.795626640319824,G3S9D4,False
A3FB6F3E0F20EB32_F276895F36B838B7_6038_UN,COC(=O)[C@H](C)OC(=O)CC2C1=C(C=CC=C1)OC3=C2C=CC=C3,4.796510219573975,-4.796510219573975,G3S9D4,False
2B46311201E39ADC_22824547D5412E8A_6031_UN,O(C(=O)[C@@H]1OC[C@@H]2COCC[C@H]12)C[C@@]3(CN)COC[C@H]4CCCN34,4.801462173461914,-4.801462173461914,G3S9D4,False
19F0649D408C6BFE_74D78B3065E134F2_6038_UN,CCOC(=O)C2(COC(=O)CSCC(=O)N1CCCCC1)CCC2,4.804933071136475,-4.804933071136475,G3S9D4,False
371D941D8FC63512_18C9DDE169086C10_6038_UN,N(CC12CC(OC1)CCO2)C(=O)CN3C(=O)N(CC=C)C(=O)C3=O,4.812058448791504,-4.812058448791504,G3S9D4,False
67BCB320BBAB4E93_0521EBF497DDE141_6039_UN,O(C(C1=CC(=CC=C1)F)C2=NC=CC=C2)CC3OCC4CCOC34,4.813093662261963,-4.813093662261963,G3S9D4,False
6339AD27CC826978_B72E54DF93E663EC_7022_UN,C1(=CC(=CC=C1)C2=CC=NC=C2)NCCOCCC3=CC=CC=C3,4.817070007324219,-4.817070007324219,G3S9D4,False
551E68EEDF7A358B_72BEC6AFD6BD38FD_6039_UN,O(C1=C(C=CC=C1)C2=CC=NC=C2)CC4CN3CC(CCC3=O)O4,4.819116592407227,-4.819116592407227,G3S9D4,False
BA10B4C65FF96A2F_A25A7DBCDBC00CC9_6031_DP,NCC12CCC(CO1)(C(=O)OCCOCCOCCOCCN)C2,4.819528579711914,-4.819528579711914,G3S9D4,False
0ECDEA7D72F3FBB3_781526E4ABC7E720_6035_UN,O(CC2C[C@@H]1CCCC[C@H]1O2)C3=CC(=NC=C3)C4=CC(=CC=C4)F,4.820591926574707,-4.820591926574707,G3S9D4,False
