uid,hotkey,molecule_name,url_path,smiles,target_score,antitarget_score,weighted_diff_score,block,stake,order_in_block,final_score
181,5C5irJHWgP9ZkkYxaG5KmtP42Mb6sX4Y5i5kgETzyvM3kmRn,12FB86EB3BE771E2_DAC53CF0CD6C9DE3_7005_UN,LLystrblu/sn68/main/dceb1acd699c080c6062.txt,N4=C(C(O)C(O)C2=NC1=C(C=CC=C1)[NH]2)[NH]C5=CC3=C(C=CC=C3)C=C45,6.082993507385254,5.82937753200531,1.7109603583812714,5321806,0.0,0,1.7109603583812714
179,5C7LALoU5UdJT8U8g6xXMNLPzMhea6oEy1GjfcgxddpFLwTp,89CC20E8ED46E086_80AAC08A91701BD8_7005_UN,LLystrblu/sn68/main/f5133b881ef03d6a7716.txt,N3=C(C(O)C(O)C2=NC1=C(C=CC=C1)[NH]2)[NH]C4=C5C(=CC=C34)N=CC=C5,6.0223493576049805,5.7674912214279175,1.6967309415340424,5321796,0.0,0,1.6967309415340424
182,5GEQjwD1QfbPVGhz7prKVu7xfFPjiNtB3TmRo42a5w56ot8S,0B34C7BC8CF881CD_768D14770BA8959F_7005_UN,LLystrblu/sn68/main/c10b181054a8ca8f0886.txt,N3=C(C(O)C(O)C2=NC1=C(C=CC=C1)S2)[NH]C4=C5C(=CC=C34)N=CC=C5,5.97273063659668,5.706889867782593,1.692563235759735,5321826,0.0,0,1.692563235759735
165,5GrmL4j2w4uNRgnyzZZYPTjGR33iE6p7hwis5mPUmkuMTdFy,6E7549434594B91B_E80B7E3FF0E54D10_7019_UN,tellorian/sn68_submit/main/6339fc8721d5d241d2ca.txt,C(C2=NC1=C(CCOC1)O2)=CC5=NC3=C(CC(CC3)C4=CC=CC=C4)S5,6.7011237144470215,6.740789890289307,1.6455312967300415,5321699,0.0,0,1.6455312967300415
164,5GvUBBGTuQ3iRwU7YiyemoqgQSU8C2ucEwGENF3nzhyoRM8i,B3E1647B7BEAB2F9_289DF4D6354E10B2_7019_UN,tellorian/sn68_submit/main/420da6dffff863c0a2a5.txt,C(C1=N[NH]C2=C1COCC2)=CC5=NC3=C(CC(CC3)C4=CC=CC=C4)S5,6.8745527267456055,6.976211428642273,1.6423941552639008,5321552,0.0,0,1.6423941552639008
48,5CiFJZN2jNsSyUE6tLMaqKU7WSczXphP6VVbyuDoNfm4g7yQ,BEEB31AF92BEA129_51986A5A8847CF5E_7019_UN,commander-hawk/68/main/dd3809e07ec691da7b8f.txt,C(C1=NC(=NC=C1)C3CC2=C(C=CC=C2)O3)=CC5=NC4=C(COCC4)S5,6.360090732574463,6.293150067329407,1.6402281820774078,5321775,0.0,0,1.6402281820774078
113,5CPHBmygku4FKx3xSeUnoMfn7cGie5xfkB7Fms1XuRafiu4R,146B81335F52E591_10F617DDEC861D1A_7005_UN,bitty-labs/novasubs/main/e0be8637814a5232d895.txt,N3=C(C1N2CCN(C1)CCC2)[NH]C4=CC(=CC=C34)C6=NC5=C(C=CC=C5)S6,6.283136367797852,6.196380257606506,1.6358511745929718,5321539,137.0216522216797,0,1.6358511745929718
127,5Gx9iqCTPofPecPiDsW9daXC7rPAe9CvBNz1pn22j4KvvXTN,72EFE58B0FA8E9E8_FF95DBE5CFB3BDA5_7005_UN,nova-miner/nova/main/8609e7ca8f097796850d.txt,N3=C([C@H]1C[C@@H]2C[C@@H](O)[C@H]([C@H](C1)C2)O)[NH]C4=CC(=CC=C34)C5=CC=NC=C5,6.86856746673584,6.983652114868164,1.6308283805847168,5321568,0.0,0,1.6308283805847168
163,5GsDA3RnV868U3FBpcVh8e4cXMdxFp71pTBKfQ4z8AY85gJ4,A26D998BB48BED8B_0248F18EEDE6FE72_7019_UN,tellorian/sn68_submit/main/fe0237cbce617b019b25.txt,C(C1=NN=C(O1)C2CCC2)=CC5=NC3=C(CC(CC3)C4=CC=CC=C4)S5,6.846543312072754,6.955985903739929,1.629553884267807,5321529,0.0,1,1.6285538842678071
6,5CZu6Rr7MhTdQ14wdBtzv1bjT2AJSLXDnw48q3PJbPzUPjJU,43B0688CB85E82E0_23DDD8B0AE0CAA13_7005_UN,commander-hawk/68/main/9d36e4c4999efd8c29a5.txt,N3=C(C1N2CCN(C1)CC2)[NH]C4=CC(=CC=C34)C6=NC5=C(C=CC=C5)S6,6.184116840362549,6.0789878368377686,1.6248759627342224,5321524,0.0,0,1.6248759627342224
